Ponto,Arquivo,Shape,Dtype,Min,Max
Point1,Au.tif,"(2048, 2048)",uint16,0,321
Point1,B7H3.tif,"(2048, 2048)",uint16,0,0
Point1,Background.tif,"(2048, 2048)",uint16,0,40
Point1,Beta catenin.tif,"(2048, 2048)",uint16,0,6
Point1,C.tif,"(2048, 2048)",uint16,0,0
Point1,Ca.tif,"(2048, 2048)",uint16,0,504
Point1,CD11b.tif,"(2048, 2048)",uint16,0,7
Point1,CD11c.tif,"(2048, 2048)",uint16,0,9
Point1,CD138.tif,"(2048, 2048)",uint16,0,48
Point1,CD16.tif,"(2048, 2048)",uint16,0,12
Point1,CD163.tif,"(2048, 2048)",uint16,0,3
Point1,CD20.tif,"(2048, 2048)",uint16,0,32
Point1,CD209.tif,"(2048, 2048)",uint16,0,7
Point1,CD3.tif,"(2048, 2048)",uint16,0,9
Point1,CD31.tif,"(2048, 2048)",uint16,0,5
Point1,CD4.tif,"(2048, 2048)",uint16,0,7
Point1,CD45.tif,"(2048, 2048)",uint16,0,32
Point1,CD45RO.tif,"(2048, 2048)",uint16,0,10
Point1,CD56.tif,"(2048, 2048)",uint16,0,8
Point1,CD63.tif,"(2048, 2048)",uint16,0,49
Point1,CD68.tif,"(2048, 2048)",uint16,0,25
Point1,CD8.tif,"(2048, 2048)",uint16,0,15
Point1,CSF-1R.tif,"(2048, 2048)",uint16,0,10
Point1,dsDNA.tif,"(2048, 2048)",uint16,0,75
Point1,EGFR.tif,"(2048, 2048)",uint16,0,0
Point1,Fe.tif,"(2048, 2048)",uint16,0,480
Point1,FoxP3.tif,"(2048, 2048)",uint16,0,0
Point1,H3K27me3.tif,"(2048, 2048)",uint16,0,118
Point1,H3K9ac.tif,"(2048, 2048)",uint16,0,29
Point1,HLA-DR.tif,"(2048, 2048)",uint16,0,71
Point1,HLA_Class_1.tif,"(2048, 2048)",uint16,0,24
Point1,IDO.tif,"(2048, 2048)",uint16,0,5
Point1,Keratin17.tif,"(2048, 2048)",uint16,0,5
Point1,Keratin6.tif,"(2048, 2048)",uint16,0,26
Point1,Ki67.tif,"(2048, 2048)",uint16,0,12
Point1,Lag3.tif,"(2048, 2048)",uint16,0,6
Point1,MPO.tif,"(2048, 2048)",uint16,0,22
Point1,Na.tif,"(2048, 2048)",uint16,0,640
Point1,OX40.tif,"(2048, 2048)",uint16,0,0
Point1,P.tif,"(2048, 2048)",uint16,0,15
