Pasta,Canais_Combinados,Dice_Segmentation,Dice_SegmentationInterior
Point1,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Pan-Keratin.tif, Beta catenin.tif",0.12806342152498473,0.6965978576543287
Point2,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Pan-Keratin.tif, Beta catenin.tif",0.08172656709593693,0.6459934386910167
Point3,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Pan-Keratin.tif, Beta catenin.tif",0.16719171479126305,0.740693541512138
Point4,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Pan-Keratin.tif, Beta catenin.tif",0.13713159759408033,0.7465962290682038
Point5,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Pan-Keratin.tif, Beta catenin.tif",0.12974308086482816,0.7181873394535794
Point6,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Pan-Keratin.tif, Beta catenin.tif",0.14138749705175319,0.7308771832047446
Point7,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Pan-Keratin.tif, Beta catenin.tif",0.11109180506469306,0.6633474541755808
Point8,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Pan-Keratin.tif, Beta catenin.tif",0.09356000149829022,0.6570161229206927
Point9,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Pan-Keratin.tif, Beta catenin.tif",0.15718494955598245,0.7312004201198139
Point10,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Pan-Keratin.tif, Beta catenin.tif",0.13261231405125753,0.6690627031321086
Point11,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Pan-Keratin.tif, Beta catenin.tif",0.15283040628029548,0.7380065080045699
Point12,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Pan-Keratin.tif, Beta catenin.tif",0.1535488741486582,0.7710050732776413
Point13,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Pan-Keratin.tif, Beta catenin.tif",0.1721722379675267,0.7644393986954402
Point14,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Pan-Keratin.tif, Beta catenin.tif",0.14870321138286233,0.7479620667671265
