Pasta,Canais_Combinados,Dice_Segmentation,Dice_SegmentationInterior
Point1,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif",0.10311332946933845,0.6986258117372783
Point2,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif",0.07665752663948915,0.646118151474108
Point3,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif",0.1617276699889757,0.7333961049069189
Point4,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif",0.1362964012891875,0.7454595612144572
Point5,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif",0.11838914756109954,0.7066701631031302
Point6,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif",0.13770126394975524,0.72633820348643
Point7,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif",0.09610277768839078,0.6598117669608454
Point8,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif",0.09017244079482395,0.657483638366856
Point9,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif",0.1552768416254079,0.7318521194649134
Point10,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif",0.12607581097334056,0.669716622402512
Point11,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif",0.150075306171808,0.7361647141670455
Point12,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif",0.14443614931360305,0.7633966697699345
Point13,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif",0.17020834467454668,0.7618305045102747
Point14,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif",0.12645800495383921,0.7233955700487937
Point15,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif",0.034493915124435844,0.595515179026837
Point16,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif",0.14470991054068114,0.7376539748319453
Point17,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif",0.1520600594017649,0.7773857536533318
Point18,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif",0.12889553997432612,0.74338528856254
Point19,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif",0.10699986842352588,0.6440033491543261
Point20,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif",0.12086805872307234,0.6893590048402436
Point21,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif",0.12427960308356904,0.7121232552269717
Point22,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif",0.04038425996924976,0.539487175756275
Point23,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif",0.12371288832721732,0.6713173590102428
Point24,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif",0.14054944902112587,0.7080437293332013
Point25,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif",0.11173533820387833,0.6380396386369862
Point26,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif",0.1301815370835046,0.7292484327029334
Point27,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif",0.12184318789225548,0.6847939696916303
Point28,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif",0.16436670852912497,0.7719790661363322
Point29,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif",0.14446636430513918,0.6984062737388934
Point30,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif",0.17938425825830143,0.8058441365621899
Point31,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif",0.12588998842085802,0.6750317815952134
Point32,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif",0.15249990155011928,0.7074047305770217
Point33,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif",0.10081788561197236,0.5251153730753294
Point34,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif",0.10635722930163025,0.6174904423569271
Point35,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif",0.16359993283707394,0.7551488801329418
Point36,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif",0.11394700715784448,0.5386530801263382
Point37,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif",0.12282747166225741,0.7204093557044414
Point38,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif",0.11945201246049669,0.7095941804085248
Point39,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif",0.14182445246516645,0.6214657837017904
Point40,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif",0.13359363685229086,0.7099216408986677
Point41,"dsDNA.tif, H3K27me3.tif, H3K9ac.tif, CD45.tif, HLA-DR.tif, Beta catenin.tif",0.13467587063213662,0.6572106531597215
